epsilon,original,privado
0.060,-12.39296052360974,-12.394000592069723
0.065,-12.39296052360974,-12.39392058680357
0.070,-12.39296052360974,-12.387215644349196
0.075,-12.39296052360974,-12.387598636299899
0.080,-12.39296052360974,-12.390939551878512
0.085,-12.39296052360974,-12.391058432568585
0.090,-12.39296052360974,-12.397537805532293
0.095,-12.39296052360974,-12.397296895957421
0.100,-12.39296052360974,-12.391364784015666
0.005,-12.851525143449155,-12.820607688813846
0.010,-12.851525143449155,-12.705564918430246
0.015,-12.851525143449155,-12.754218326769882
0.020,-12.851525143449155,-12.852230646057999
0.025,-12.851525143449155,-12.852089545536229
0.030,-12.851525143449155,-12.846183792057566
0.035,-12.851525143449155,-12.846946842256363
0.040,-12.851525143449155,-12.839623784673703
0.045,-12.851525143449155,-12.840946157870976
0.050,-12.851525143449155,-12.85320907549011
0.055,-12.851525143449155,-12.853055990759113
0.060,-12.851525143449155,-12.854005982413986
0.065,-12.851525143449155,-12.85381514864746
0.070,-12.851525143449155,-12.850019516899476
